New Jersey,Y,https://www.state.nj.us/corrections/pages/COVID19Updates.shtml,,https://www.state.nj.us/corrections/pages/COVID19Updates.shtml,,,x,x,,x (free stamps),x,x,x,x,x,,x ,x,,,"""Individuals who demonstrate symptoms will be provided with personal protective equipment, as medically directed, and either quarantined, medically isolated, or transferred to a hospital, as prescribed. Furthermore, individuals have been instructed to report ailments to medical staff and alert our staff of any urgent medical needs."""
New Mexico,Y,https://cd.nm.gov/covid-19-updates/,,,,x,,x (1 free call/wk),,x (provided with additional materials to communicate via mail),,x,x,,,,x ,,,,
New York,Y,https://doccs.ny.gov/doccs-covid-19-report,,https://doccs.ny.gov/doccs-covid-19-report,,,x,x (3 free 30 min calls/wk),,x (5 free stamps/wk; 2 free msgs/wk via table; every secure message sent on a Wednesday will be accompanied with a free prepaid stamp that will allow the the prisoner to reply to the sender),x,x,,x,,,,x,,,
North Carolina,Y,"https://www.ncdps.gov/our-organization/emergency-management/past-disasters/dps-actions-covid-19 (for all NCDPS subdivisions)
https://www.ncdps.gov/our-organization/adult-correction/prisons/prisons-actionsinfo-covid-19 (for prison specific information)",,https://www.ncdps.gov/our-organization/adult-correction/prisons/prisons-actionsinfo-covid-19,,,x,x (2 free 5 min calls/wk),,x (prepaid post cards available for those w/o phone privileges) ,x,x,x,,x,x,,,,,
North Dakota,Y,https://www.docr.nd.gov/covid-19-information,,https://www.docr.nd.gov/covid-19-information,,x,,x (2 free 15 min calls/wk),x (1 free vid call/month),,,x,,x,,x,x,,,,"""The State Correctional Health Authority has determined the ND DOCR needs separate areas at each facility for testing, quarantine, individual isolation, and group isolation."""
Ohio,Y,https://www.drc.ohio.gov/Family/COVID-19-UPDATES,,"https://www.drc.ohio.gov/Family/COVID-19-UPDATES 
""Click here to view COVID-19 Updates"" link at the top leads to a regularly updated PDF",,,x,x (2 free 5 min calls/wk),"x (1 free 15 min call/wk, can purchase extra vid calls at discounted rate of $3.50)",x (8 free emails through JPay/mo),x,x,,,,x,,,,,"""Offenders that test positive will be kept away from those that are healthy."""
Oklahoma,Y,http://doc.publishpath.com/covid-19?__m=1,,http://doc.publishpath.com/websites/doc/images/covid-19/covid-19%20stats%20report.pdf,,,x,x (2 free 5 min calls/wk),,,x,x,,,x,,,x,x,,
Oregon,Y,https://www.oregon.gov/doc/covid19/Pages/default.aspx,,https://www.oregon.gov/doc/covid19/Pages/covid19-tracking.aspx,,x,,x (2 free 5 min calls/wk),,,x,,,,,,,,,,"""house vulnerable AICs (adults in custody) together,"" isolating patients within the institution; the rest of the plan is confidential according to their FAQ page"
Pennsylvania,Y,https://www.cor.pa.gov/Pages/COVID-19.aspx,,https://www.cor.pa.gov/Pages/COVID-19.aspx,,,x,x (5 free 15 min calls/wk),x (1 free 45 min call/wk),x (5 free emails/wk and can mail 12 one-ounce letters per month for free),x,x,x,,x,x,x,,x,,"""Every SCI has plans in place for quarantine if an inmate tests positive
...All SCIs will identify vulnerable population to keep them isolated."""
Rhode Island,N,https://www.facebook.com/RhodeIslandDOC/,https://www.facebook.com/RhodeIslandDOC/,,Their website is under construction so Facebook was listed as the best way to get regular COVID-19 updates.,x,,x (2 free calls/wk),,,,x,,,,,x,,,,
South Carolina,N,"Relevant Press Releases:
http://www.doc.sc.gov/scdc_covid-19_action_plan_031620.pdf
http://www.doc.sc.gov/covid-19_faq.pdf
http://www.doc.sc.gov/scdc_covid_news_update_032720.pdf
http://www.doc.sc.gov/scdc_covid_news_update_032820.pdf
http://www.doc.sc.gov/scdc_covid_news_update_032920.pdf
http://www.doc.sc.gov/scdc_covid_news_update_033120.pdf
http://www.doc.sc.gov/scdc_covid_news_update_040720.pdf",http://www.doc.sc.gov/,http://www.doc.sc.gov/covid.html,,,x,x (2 free 5-min calls/wk),,,x,x,x,x,,,,,,,
South Dakota,N,"Relevant Press Release:
https://doc.sd.gov/documents/CoronavirusInformation412020.pdf
https://doc.sd.gov/documents/CoronavirusInformation432020.pdf
https://doc.sd.gov/documents/CoronavirusInformation492020.pdf",https://doc.sd.gov/,,SDSC is uploading a new PDF almost daily on their website in the Newsroom section of the homepage,x,,x (2 free 5 min calls//wk),x (1 free call/wk),,x,x,,,,x,,,,,
Tennessee,N,"Relevant Press Releases:
https://www.tn.gov/correction/news/2020/3/12/tdoc-visitation-suspended-until-further-notice.html
https://www.tn.gov/correction/news/2020/4/4/tdoc-takes-covid-19-actions-after-an-extended-hospital-visit.html
https://www.tn.gov/correction/frequently-asked-questions-regarding-covid-19.html",https://www.tn.gov/correction/news.html,,,x,,x (2 free 5 min calls//wk),,,x,x,x,,,,,,,,
Texas,Y,https://www.tdcj.texas.gov/covid-19/index.html,,https://www.tdcj.texas.gov/covid-19/offender_mac.html,,x,,x (2 free 15 min calls/wk),,,,x,x,,,x,,,,x,
Utah,Y,https://corrections.utah.gov/index.php/home/alerts-2/1237-udc-coronavirus-updates,,https://corrections.utah.gov/index.php/home/alerts-2/1237-udc-coronavirus-updates,,,x,x (10 free 15 min calls/wk),,,x,x,x,,,x,x,,,,"""We are proactively working to prevent an outbreak while also preparing for a potential outbreak of the Coronavirus within our facilities. Some of these measures include... identifying areas for isolation and quarantine for those exposed"""
Vermont,Y,https://doc.vermont.gov/covid-19-information-page,,https://doc.vermont.gov/covid-19-information-page,,x,,x (2 free 5 min calls/wk),x (1 free video call),,x,x,x,,x,,x,,x (modified lockdown in all facilities),x,
Virginia,Y,https://vadoc.virginia.gov/news-press-releases/2020/covid-19-updates/,,https://vadoc.virginia.gov/news-press-releases/2020/covid-19-updates/,,x,,x (2 free calls/wk),,x (2 free JPay stamps/wk),,x,,x,,,,,x (modified lockdown in all facilities),,"""Offenders in dormitory housing have been instructed to sleep head to toe, thereby increasing the breathable space between offenders. Additionally, it has been recommended to offenders that they maintain a six foot distance whenever possible and not sit on anyone else’s bed."""
Washington,Y,https://www.doc.wa.gov/news/covid-19.htm,,https://www.doc.wa.gov/news/covid-19.htm#status,,,x,x (2 free 5 min calls/wk),x (1 free video call),x (2 free JPay stamps/wk; reduced cost for inbound VideoGrams),x,x,x,,,,x,,,,
West Virginia,Y,https://dhhr.wv.gov/COVID-19/Pages/Correctional-Facilities.aspx,,,,,x,x (weekly allotment of free calls),x (weekly allotment of free calls),,,x,x,,,x,x,,,,
Wisconsin,Y,https://doc.wi.gov/Pages/COVID19%28Coronavirus%29/COVID19.aspx,,https://doc.wi.gov/Pages/COVID19%28Coronavirus%29/COVID19.aspx,,,x,x (2 free 15 min calls/wk),,,x,x,,x,,x,x (particularly for those who are elderly or have extraordinary health conditions),,,,"""Each site has pandemic plans to address COVID-19, including the protocols and isolation procedures if someone is exposed and/or becomes infected""only critical movement is allowed outside of cells (meals, showers) in facilities with confirmed cases"
Wyoming,N,,http://corrections.wyo.gov/home,,All information is listed on their homepage. The most recent update is from March 18. ,,x,,,,,x,,,,,,,,,
