Facility,State,County / Name of Facility,"Confirmed Cases 
(Staff)",Confirmed Cases (Residents),"Confirmed Deaths
(Staff)","Confirmed Deaths
(Residents)",Staff Recovered,Residents Recovered,"Date 
(last updated)",Source(s),Additional Notes,Coder
Prison,Alabama,Easterling,0,1,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Elba,1,1,0,0,0,1,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Elmore,2,0,0,0,1,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Fountain,0,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Frank Lee,0,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Hamilton A&I,0,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Hamilton CBF,0,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Holman,0,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Kilby,1,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Limestone,1,0,0,0,1,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Loxley,0,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Mobile,1,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Montgomery,0,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,North Alabama,0,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Red Eagle,0,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,St Clair,1,2,0,1,1,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Staton,2,0,0,0,1,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Tutwiler,0,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alabama,Ventress,5,0,0,0,0,0,5/2/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP
Prison,Alaska,State-Wide (for non-specific facilities),0,0,0,0,,,5/2/20,https://doc.alaska.gov/covid-19,(4/26/20) first alaska DOC resident positive at Goose Creek CC ( https://www.adn.com/alaska-news/2020/04/26/inmate-at-wasilla-correctional-center-tests-positive-for-covid-19/ ) ----- (4/16/20) seven staff at Juneau/Lemon Creek test positive (https://www.anchoragepress.com/news/coronavirus/state-officials-speak-about-covid-19-testing-in-prisons/article_636fed1c-8011-11ea-a150-e71b2ff34af8.html) (4/15/20) two more staff (6 total) positive at JuneauLemon Creek Correctional Center ( https://www.alaskapublic.org/2020/04/14/2-more-staffers-at-lemon-creek-correctional-center-test-positive-for-covid-19/ ) ----- (4/14/20) three more Juneau officers test positive (https://www.adn.com/alaska-news/2020/04/13/four-employees-at-juneau-prison-have-tested-positive-for-covid-19/) ----- (4/10/20) first staff member tests positive (https://www.alaskapublic.org/2020/04/09/staff-member-at-juneaus-lemon-creek-correctional-center-has-covid-19/) ----- (4/3/20) article says no cases ( https://www.ktuu.com/content/news/DOC-implements-changes-in-Alaska-prisons-coronavirus-pandemic-569363581.html ),KP
Prison,Alaska,Lemon Creek CC (Juneau),7,0,0,0,,,5/2/20,https://doc.alaska.gov/covid-19,(4/26/20) first alaska DOC resident positive at Goose Creek CC ( https://www.adn.com/alaska-news/2020/04/26/inmate-at-wasilla-correctional-center-tests-positive-for-covid-19/ ) ----- (4/16/20) seven staff at Juneau/Lemon Creek test positive (https://www.anchoragepress.com/news/coronavirus/state-officials-speak-about-covid-19-testing-in-prisons/article_636fed1c-8011-11ea-a150-e71b2ff34af8.html) (4/15/20) two more staff (6 total) positive at JuneauLemon Creek Correctional Center ( https://www.alaskapublic.org/2020/04/14/2-more-staffers-at-lemon-creek-correctional-center-test-positive-for-covid-19/ ) ----- (4/14/20) three more Juneau officers test positive (https://www.adn.com/alaska-news/2020/04/13/four-employees-at-juneau-prison-have-tested-positive-for-covid-19/) ----- (4/10/20) first staff member tests positive (https://www.alaskapublic.org/2020/04/09/staff-member-at-juneaus-lemon-creek-correctional-center-has-covid-19/) ----- (4/3/20) article says no cases ( https://www.ktuu.com/content/news/DOC-implements-changes-in-Alaska-prisons-coronavirus-pandemic-569363581.html ),KP
Prison,Alaska,Goose Creek CC,0,1,0,0,,,5/2/20,https://doc.alaska.gov/covid-19,(4/26/20) first alaska DOC resident positive at Goose Creek CC ( https://www.adn.com/alaska-news/2020/04/26/inmate-at-wasilla-correctional-center-tests-positive-for-covid-19/ ) ----- (4/16/20) seven staff at Juneau/Lemon Creek test positive (https://www.anchoragepress.com/news/coronavirus/state-officials-speak-about-covid-19-testing-in-prisons/article_636fed1c-8011-11ea-a150-e71b2ff34af8.html) (4/15/20) two more staff (6 total) positive at JuneauLemon Creek Correctional Center ( https://www.alaskapublic.org/2020/04/14/2-more-staffers-at-lemon-creek-correctional-center-test-positive-for-covid-19/ ) ----- (4/14/20) three more Juneau officers test positive (https://www.adn.com/alaska-news/2020/04/13/four-employees-at-juneau-prison-have-tested-positive-for-covid-19/) ----- (4/10/20) first staff member tests positive (https://www.alaskapublic.org/2020/04/09/staff-member-at-juneaus-lemon-creek-correctional-center-has-covid-19/) ----- (4/3/20) article says no cases ( https://www.ktuu.com/content/news/DOC-implements-changes-in-Alaska-prisons-coronavirus-pandemic-569363581.html ),KP
Prison,Arizona,State-Wide (for staff count),46,0,0,0,24,0,5/2/20,https://corrections.az.gov/adcrr-covid-19-dashboard,"(5/1/20) Third resident dies, was incarcerated on death row in Florence facility (https://kvoa.com/coronavirus-coverage/2020/05/01/attorney-arizona-death-row-inmate-dies-from-covid-19/)  (4/28/20) second resident death, at Florence ( https://www.fox10phoenix.com/news/details-released-on-first-deaths-from-coronavirus-in-arizona-prisons ) ----- (4/27/20) AZ is not releasing official officer infection information (https://www.abc15.com/news/local-news/investigations/experts-arizona-officials-unlawfully-holding-covid-19-information)  (4/27/20) article reports first resident fatality, from the state prison in Tucson, which it reports as happening ""two weeks ago"" (https://kvoa.com/coronavirus-coverage/2020/04/27/details-released-about-arizona-prisons-first-covid-19-death/)  (4/22/20) article reports at least 30 officers infected across seven prison complexes (https://www.abc15.com/news/local-news/investigations/lack-of-covid-19-testing-information-raises-questions-in-arizona-prisons)  (4/16/20) ADOC is refusing to release officer positive numbers (https://www.abc15.com/news/local-news/investigations/arizona-department-of-corrections-not-releasing-number-of-positive-tests-of-officers) (4/15/20) 20 staff are positive across Arizona CPOA ( https://www.abc15.com/news/local-news/investigations/adoc-officer-speaks-out-after-testing-positive-for-coronavirus ) ----- (4/10/20) third inmate tests positive (https://www.azcentral.com/story/news/local/arizona-breaking/2020/04/09/3rd-arizona-inmate-tests-positive-coronavirus-florence-prison/5128381002/) ----- (4/8/20) two inmates tested positive ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update-4-7-20.pdf ) ----- (4/1/20) management strategy update: ""Of the more than 42,000 inmates currently housed in ADCRR custody and care,
there are no known cases of the COVID-19. Of those inmates evaluated for flu-like symptoms,
34 inmates have been tested for COVID-19, 29 are negative, and 5 test results are currently
pending. "" ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update4-1-20.pdf )
Three staff infected: https://www.abc15.com/news/local-news/investigations/documents-show-only-30-of-symptomatic-inmates-in-az-have-been-tested-for-coronavirus
Note: according to abc15 article, 113 symptomatic prisoners, 358 employees turned away from work due to health screenings at prison entrances.
-----(300 officers on sick leave, 3 positive or presumed positive) (https://www.tucsonsentinel.com/local/report/040620_prisons_cv/arizona-clears-prison-warehouse-prep-covid-19-inmate-infections/)",KP
Prison,Arizona,CACF,0,0,0,0,,0,5/2/20,https://corrections.az.gov/adcrr-covid-19-dashboard,"(5/1/20) Third resident dies, was incarcerated on death row in Florence facility (https://kvoa.com/coronavirus-coverage/2020/05/01/attorney-arizona-death-row-inmate-dies-from-covid-19/)  (4/28/20) second resident death, at Florence ( https://www.fox10phoenix.com/news/details-released-on-first-deaths-from-coronavirus-in-arizona-prisons ) ----- (4/27/20) AZ is not releasing official officer infection information (https://www.abc15.com/news/local-news/investigations/experts-arizona-officials-unlawfully-holding-covid-19-information)  (4/27/20) article reports first resident fatality, from the state prison in Tucson, which it reports as happening ""two weeks ago"" (https://kvoa.com/coronavirus-coverage/2020/04/27/details-released-about-arizona-prisons-first-covid-19-death/)  (4/22/20) article reports at least 30 officers infected across seven prison complexes (https://www.abc15.com/news/local-news/investigations/lack-of-covid-19-testing-information-raises-questions-in-arizona-prisons)  (4/16/20) ADOC is refusing to release officer positive numbers (https://www.abc15.com/news/local-news/investigations/arizona-department-of-corrections-not-releasing-number-of-positive-tests-of-officers) (4/15/20) 20 staff are positive across Arizona CPOA ( https://www.abc15.com/news/local-news/investigations/adoc-officer-speaks-out-after-testing-positive-for-coronavirus ) ----- (4/10/20) third inmate tests positive (https://www.azcentral.com/story/news/local/arizona-breaking/2020/04/09/3rd-arizona-inmate-tests-positive-coronavirus-florence-prison/5128381002/) ----- (4/8/20) two inmates tested positive ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update-4-7-20.pdf ) ----- (4/1/20) management strategy update: ""Of the more than 42,000 inmates currently housed in ADCRR custody and care,
there are no known cases of the COVID-19. Of those inmates evaluated for flu-like symptoms,
34 inmates have been tested for COVID-19, 29 are negative, and 5 test results are currently
pending. "" ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update4-1-20.pdf )
Three staff infected: https://www.abc15.com/news/local-news/investigations/documents-show-only-30-of-symptomatic-inmates-in-az-have-been-tested-for-coronavirus
Note: according to abc15 article, 113 symptomatic prisoners, 358 employees turned away from work due to health screenings at prison entrances.
-----(300 officers on sick leave, 3 positive or presumed positive) (https://www.tucsonsentinel.com/local/report/040620_prisons_cv/arizona-clears-prison-warehouse-prep-covid-19-inmate-infections/)",KP
Prison,Arizona,Douglas,0,0,0,0,,0,5/2/20,https://corrections.az.gov/adcrr-covid-19-dashboard,"(5/1/20) Third resident dies, was incarcerated on death row in Florence facility (https://kvoa.com/coronavirus-coverage/2020/05/01/attorney-arizona-death-row-inmate-dies-from-covid-19/)  (4/28/20) second resident death, at Florence ( https://www.fox10phoenix.com/news/details-released-on-first-deaths-from-coronavirus-in-arizona-prisons ) ----- (4/27/20) AZ is not releasing official officer infection information (https://www.abc15.com/news/local-news/investigations/experts-arizona-officials-unlawfully-holding-covid-19-information)  (4/27/20) article reports first resident fatality, from the state prison in Tucson, which it reports as happening ""two weeks ago"" (https://kvoa.com/coronavirus-coverage/2020/04/27/details-released-about-arizona-prisons-first-covid-19-death/)  (4/22/20) article reports at least 30 officers infected across seven prison complexes (https://www.abc15.com/news/local-news/investigations/lack-of-covid-19-testing-information-raises-questions-in-arizona-prisons)  (4/16/20) ADOC is refusing to release officer positive numbers (https://www.abc15.com/news/local-news/investigations/arizona-department-of-corrections-not-releasing-number-of-positive-tests-of-officers) (4/15/20) 20 staff are positive across Arizona CPOA ( https://www.abc15.com/news/local-news/investigations/adoc-officer-speaks-out-after-testing-positive-for-coronavirus ) ----- (4/10/20) third inmate tests positive (https://www.azcentral.com/story/news/local/arizona-breaking/2020/04/09/3rd-arizona-inmate-tests-positive-coronavirus-florence-prison/5128381002/) ----- (4/8/20) two inmates tested positive ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update-4-7-20.pdf ) ----- (4/1/20) management strategy update: ""Of the more than 42,000 inmates currently housed in ADCRR custody and care,
there are no known cases of the COVID-19. Of those inmates evaluated for flu-like symptoms,
34 inmates have been tested for COVID-19, 29 are negative, and 5 test results are currently
pending. "" ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update4-1-20.pdf )
Three staff infected: https://www.abc15.com/news/local-news/investigations/documents-show-only-30-of-symptomatic-inmates-in-az-have-been-tested-for-coronavirus
Note: according to abc15 article, 113 symptomatic prisoners, 358 employees turned away from work due to health screenings at prison entrances.
-----(300 officers on sick leave, 3 positive or presumed positive) (https://www.tucsonsentinel.com/local/report/040620_prisons_cv/arizona-clears-prison-warehouse-prep-covid-19-inmate-infections/)",KP
Prison,Arizona,Eyman,0,5,0,0,,0,5/2/20,https://corrections.az.gov/adcrr-covid-19-dashboard,"(5/1/20) Third resident dies, was incarcerated on death row in Florence facility (https://kvoa.com/coronavirus-coverage/2020/05/01/attorney-arizona-death-row-inmate-dies-from-covid-19/)  (4/28/20) second resident death, at Florence ( https://www.fox10phoenix.com/news/details-released-on-first-deaths-from-coronavirus-in-arizona-prisons ) ----- (4/27/20) AZ is not releasing official officer infection information (https://www.abc15.com/news/local-news/investigations/experts-arizona-officials-unlawfully-holding-covid-19-information)  (4/27/20) article reports first resident fatality, from the state prison in Tucson, which it reports as happening ""two weeks ago"" (https://kvoa.com/coronavirus-coverage/2020/04/27/details-released-about-arizona-prisons-first-covid-19-death/)  (4/22/20) article reports at least 30 officers infected across seven prison complexes (https://www.abc15.com/news/local-news/investigations/lack-of-covid-19-testing-information-raises-questions-in-arizona-prisons)  (4/16/20) ADOC is refusing to release officer positive numbers (https://www.abc15.com/news/local-news/investigations/arizona-department-of-corrections-not-releasing-number-of-positive-tests-of-officers) (4/15/20) 20 staff are positive across Arizona CPOA ( https://www.abc15.com/news/local-news/investigations/adoc-officer-speaks-out-after-testing-positive-for-coronavirus ) ----- (4/10/20) third inmate tests positive (https://www.azcentral.com/story/news/local/arizona-breaking/2020/04/09/3rd-arizona-inmate-tests-positive-coronavirus-florence-prison/5128381002/) ----- (4/8/20) two inmates tested positive ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update-4-7-20.pdf ) ----- (4/1/20) management strategy update: ""Of the more than 42,000 inmates currently housed in ADCRR custody and care,
there are no known cases of the COVID-19. Of those inmates evaluated for flu-like symptoms,
34 inmates have been tested for COVID-19, 29 are negative, and 5 test results are currently
pending. "" ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update4-1-20.pdf )
Three staff infected: https://www.abc15.com/news/local-news/investigations/documents-show-only-30-of-symptomatic-inmates-in-az-have-been-tested-for-coronavirus
Note: according to abc15 article, 113 symptomatic prisoners, 358 employees turned away from work due to health screenings at prison entrances.
-----(300 officers on sick leave, 3 positive or presumed positive) (https://www.tucsonsentinel.com/local/report/040620_prisons_cv/arizona-clears-prison-warehouse-prep-covid-19-inmate-infections/)",KP
Prison,Arizona,Florence,0,30,0,3,,0,5/2/20,https://corrections.az.gov/adcrr-covid-19-dashboard,"(5/1/20) Third resident dies, was incarcerated on death row in Florence facility (https://kvoa.com/coronavirus-coverage/2020/05/01/attorney-arizona-death-row-inmate-dies-from-covid-19/)  (4/28/20) second resident death, at Florence ( https://www.fox10phoenix.com/news/details-released-on-first-deaths-from-coronavirus-in-arizona-prisons ) ----- (4/27/20) AZ is not releasing official officer infection information (https://www.abc15.com/news/local-news/investigations/experts-arizona-officials-unlawfully-holding-covid-19-information)  (4/27/20) article reports first resident fatality, from the state prison in Tucson, which it reports as happening ""two weeks ago"" (https://kvoa.com/coronavirus-coverage/2020/04/27/details-released-about-arizona-prisons-first-covid-19-death/)  (4/22/20) article reports at least 30 officers infected across seven prison complexes (https://www.abc15.com/news/local-news/investigations/lack-of-covid-19-testing-information-raises-questions-in-arizona-prisons)  (4/16/20) ADOC is refusing to release officer positive numbers (https://www.abc15.com/news/local-news/investigations/arizona-department-of-corrections-not-releasing-number-of-positive-tests-of-officers) (4/15/20) 20 staff are positive across Arizona CPOA ( https://www.abc15.com/news/local-news/investigations/adoc-officer-speaks-out-after-testing-positive-for-coronavirus ) ----- (4/10/20) third inmate tests positive (https://www.azcentral.com/story/news/local/arizona-breaking/2020/04/09/3rd-arizona-inmate-tests-positive-coronavirus-florence-prison/5128381002/) ----- (4/8/20) two inmates tested positive ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update-4-7-20.pdf ) ----- (4/1/20) management strategy update: ""Of the more than 42,000 inmates currently housed in ADCRR custody and care,
there are no known cases of the COVID-19. Of those inmates evaluated for flu-like symptoms,
34 inmates have been tested for COVID-19, 29 are negative, and 5 test results are currently
pending. "" ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update4-1-20.pdf )
Three staff infected: https://www.abc15.com/news/local-news/investigations/documents-show-only-30-of-symptomatic-inmates-in-az-have-been-tested-for-coronavirus
Note: according to abc15 article, 113 symptomatic prisoners, 358 employees turned away from work due to health screenings at prison entrances.
-----(300 officers on sick leave, 3 positive or presumed positive) (https://www.tucsonsentinel.com/local/report/040620_prisons_cv/arizona-clears-prison-warehouse-prep-covid-19-inmate-infections/)",KP
Prison,Arizona,Florence West,0,0,0,0,,0,5/2/20,https://corrections.az.gov/adcrr-covid-19-dashboard,"(5/1/20) Third resident dies, was incarcerated on death row in Florence facility (https://kvoa.com/coronavirus-coverage/2020/05/01/attorney-arizona-death-row-inmate-dies-from-covid-19/)  (4/28/20) second resident death, at Florence ( https://www.fox10phoenix.com/news/details-released-on-first-deaths-from-coronavirus-in-arizona-prisons ) ----- (4/27/20) AZ is not releasing official officer infection information (https://www.abc15.com/news/local-news/investigations/experts-arizona-officials-unlawfully-holding-covid-19-information)  (4/27/20) article reports first resident fatality, from the state prison in Tucson, which it reports as happening ""two weeks ago"" (https://kvoa.com/coronavirus-coverage/2020/04/27/details-released-about-arizona-prisons-first-covid-19-death/)  (4/22/20) article reports at least 30 officers infected across seven prison complexes (https://www.abc15.com/news/local-news/investigations/lack-of-covid-19-testing-information-raises-questions-in-arizona-prisons)  (4/16/20) ADOC is refusing to release officer positive numbers (https://www.abc15.com/news/local-news/investigations/arizona-department-of-corrections-not-releasing-number-of-positive-tests-of-officers) (4/15/20) 20 staff are positive across Arizona CPOA ( https://www.abc15.com/news/local-news/investigations/adoc-officer-speaks-out-after-testing-positive-for-coronavirus ) ----- (4/10/20) third inmate tests positive (https://www.azcentral.com/story/news/local/arizona-breaking/2020/04/09/3rd-arizona-inmate-tests-positive-coronavirus-florence-prison/5128381002/) ----- (4/8/20) two inmates tested positive ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update-4-7-20.pdf ) ----- (4/1/20) management strategy update: ""Of the more than 42,000 inmates currently housed in ADCRR custody and care,
there are no known cases of the COVID-19. Of those inmates evaluated for flu-like symptoms,
34 inmates have been tested for COVID-19, 29 are negative, and 5 test results are currently
pending. "" ( https://corrections.az.gov/sites/default/files/notifications/adcrr-covid-19-update4-1-20.pdf )
Three staff infected: https://www.abc15.com/news/local-news/investigations/documents-show-only-30-of-symptomatic-inmates-in-az-have-been-tested-for-coronavirus
Note: according to abc15 article, 113 symptomatic prisoners, 358 employees turned away from work due to health screenings at prison entrances.
-----(300 officers on sick leave, 3 positive or presumed positive) (https://www.tucsonsentinel.com/local/report/040620_prisons_cv/arizona-clears-prison-warehouse-prep-covid-19-inmate-infections/)",KP
